name,price,detail_url
Настольная лампа Алней Green,3990руб.,https://www.divan.ru/product/nastolnaya-lampa-alnej-green
Торшер Мун Black,8990руб.,https://www.divan.ru/product/torsher-mun-black
Настольная лампа Рэй Black,3590руб.,https://www.divan.ru/product/nastolnaya-lampa-rej-black
Подвесной светильник Moderli Lewes,14 690руб.,https://www.divan.ru/product/podvesnoj-svetilnik-moderli-lewes
Подвесной светильник Лечче Mint,4590руб.,https://www.divan.ru/product/podvesnoj-svetilnik-lechche-mint
Торшер Отто Black,7990руб.,https://www.divan.ru/product/torsher-otto-black
Торшер Флинт-1 White,15 990руб.,https://www.divan.ru/product/torsher-flint-1-white
Настольная лампа Алней Beige,3990руб.,https://www.divan.ru/product/nastolnaya-lampa-alnej-beige
Настольная лампа Нидлс Raffia Beige,4990руб.,https://www.divan.ru/product/nastolnaya-lampa-nidls-raffia-beige
Настольная лампа Отто Black,4790руб.,https://www.divan.ru/product/nastolnaya-lampa-otto-black
Подвесной светильник Лума Gold,4990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-luma-gold
Подвесной светильник Дроп Beige,3490руб.,https://www.divan.ru/product/podvesnoj-svetilnik-drop-beige
Подвесной светильник Дроп Gray,2990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-drop-gray
Подвесной светильник Дроп White,2990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-drop-white
Подвесной светильник Дроп Black,2790руб.,https://www.divan.ru/product/podvesnoj-svetilnik-drop-black
Подвесной светильник Лума Black,4090руб.,https://www.divan.ru/product/podvesnoj-svetilnik-luma-black
Подвесной светильник Лума White,4190руб.,https://www.divan.ru/product/podvesnoj-svetilnik-luma-white
Настольная лампа Сфера Black,5390руб.,https://www.divan.ru/product/nastolnaya-lampa-sfera-black
Подвесной светильник Пескара Green,5090руб.,https://www.divan.ru/product/podvesnoj-svetilnik-peskara-green
Торшер Moderli Floor White,7990руб.,https://www.divan.ru/product/torsher-moderli-floor-white
Настольная лампа Флейк White,7990руб.,https://www.divan.ru/product/nastolnaya-lampa-flejk-white
Подвесной светильник Флейк White,6990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-flejk-white
Торшер Шоу Black,11 990руб.,https://www.divan.ru/product/torsher-shou-black
Торшер Нидлс Khaki,14 990руб.,https://www.divan.ru/product/torsher-nidls-khaki
Торшер Грено Black,11 990руб.,https://www.divan.ru/product/torsher-greno-black
Настольная лампа Раффи Round,6990руб.,https://www.divan.ru/product/nastolnaya-lampa-raffi-round
Настольная лампа Гровер Glass,6490руб.,https://www.divan.ru/product/nastolnaya-lampa-grover-glass
Подвесной светильник Плейн Black,11 990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-plejn-black
Торшер Вена Black,11 990руб.,https://www.divan.ru/product/torsher-vena-black
Настольная лампа Сфера Orange,5390руб.,https://www.divan.ru/product/nastolnaya-lampa-sfera-orange
Настольная лампа Спайк Orange,990руб.,https://www.divan.ru/product/nastolnaya-lampa-spajk-orange
Подвесной светильник Бабл Quartz,11 490руб.,https://www.divan.ru/product/podvesnoj-svetilnik-babl-quartz
Подвесной светильник Рэн Gray,8990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-ren-gray
Подвесной светильник Пескара Black,7190руб.,https://www.divan.ru/product/podvesnoj-svetilnik-peskara-black
Подвесной светильник Лечче Rose,5090руб.,https://www.divan.ru/product/podvesnoj-svetilnik-lechche-rose
Подвесной светильник Рэн Beige,8990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-ren-beige
Настольная лампа Флинт White,7190руб.,https://www.divan.ru/product/torsher-flint-white
Подвесной светильник Рэн Gold,7990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-ren-gold
Торшер Флейк White,13 190руб.,https://www.divan.ru/product/torsher-flejk-white
